epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,514.574,0.71229,1.0161,0.9462,0.83233,0.66203,0.73695,0.54192,0.8401,1.3971,0.98,0.0008318,0.0008318,0.0008318
61,522.904,0.72051,1.01194,0.99298,0.84563,0.73049,0.74714,0.56349,0.80659,1.42517,0.96791,0.000812,0.000812,0.000812
62,531.17,0.70027,0.93765,0.92973,0.79452,0.73333,0.75345,0.57024,0.76447,1.41457,0.94976,0.0007922,0.0007922,0.0007922
63,539.421,0.6547,0.90022,0.90484,0.74504,0.77949,0.75734,0.58662,0.72681,1.38909,0.94405,0.0007724,0.0007724,0.0007724
64,547.661,0.69151,0.97066,0.95771,0.74504,0.77949,0.75734,0.58662,0.72681,1.38909,0.94405,0.0007526,0.0007526,0.0007526
65,555.909,0.61873,0.88371,0.89442,0.79109,0.75758,0.76864,0.59953,0.70485,1.26266,0.92674,0.0007328,0.0007328,0.0007328
66,564.138,0.66475,0.90918,0.93442,0.7747,0.76667,0.76869,0.60262,0.69859,1.26037,0.93644,0.000713,0.000713,0.000713
67,572.481,0.69608,0.91846,0.95016,0.78752,0.76667,0.7776,0.60291,0.70969,1.22385,0.93147,0.0006932,0.0006932,0.0006932
68,580.686,0.70786,0.97603,0.9876,0.81917,0.76667,0.78431,0.59203,0.74306,1.2316,0.92425,0.0006734,0.0006734,0.0006734
69,588.845,0.58744,0.93091,0.90366,0.76796,0.7724,0.78971,0.57309,0.77587,1.24805,0.92412,0.0006536,0.0006536,0.0006536
70,599.903,0.72162,1.03166,0.96995,0.78813,0.8,0.80263,0.5827,0.78746,1.25206,0.9252,0.0006338,0.0006338,0.0006338
71,608.228,0.69595,0.96004,0.95836,0.8,0.76667,0.80418,0.60643,0.75986,1.22686,0.92449,0.000614,0.000614,0.000614
72,617.737,0.65163,0.88727,0.93629,0.8,0.76667,0.80418,0.60643,0.75986,1.22686,0.92449,0.0005942,0.0005942,0.0005942
73,627.194,0.73963,0.91943,0.96695,0.82593,0.79104,0.79961,0.61347,0.71087,1.19229,0.90933,0.0005744,0.0005744,0.0005744
74,635.895,0.73614,0.9525,0.9497,0.82662,0.79479,0.80139,0.60043,0.7325,1.20208,0.91346,0.0005546,0.0005546,0.0005546
